ATS1m,SM1_B(m),SM1_B€,SM1_B(i),HyWi_X,EE_X,BID,CID,MPC01,MWC01,IVDM,SpAD_A,SpPos_A,HyWi_B€,ATS1s,WiA_B(p),WiA_B(v),VE2_B(s),VE2_B€,SpMaxA_A,RT
0.644313548,0.594637224,0.595375723,0.603232534,0.572142857,0.614673913,0.568521843,0.66091954,0.653061224,0.653061224,0.663026521,0.405470182,0.405451128,0.613145126,0.488316357,0.279279279,0.25,0.365426696,0.31294964,0.266497462,0.40893271
0.634798369,0.586225026,0.586442459,0.607403545,0.572142857,0.614673913,0.568521843,0.66091954,0.653061224,0.653061224,0.663026521,0.405470182,0.405451128,0.606528452,0.482923907,0.285285285,0.25,0.36761488,0.309352518,0.266497462,0.45881671
0.847757136,0.835436383,0.835522859,0.832116788,0.801428571,0.829891304,0.801316577,0.851900973,0.844984802,0.844984802,0.848361934,0.672165045,0.672180451,0.850904279,0.795086878,0.096096096,0.092245989,0.115973742,0.170863309,0.106598985,0.66183295
0.954689624,0.950578339,0.950604309,0.949947862,0.927857143,0.951630435,0.938958707,0.960654288,0.953973079,0.953973079,0.953822153,0.886225856,0.886184211,0.952359947,0.927501498,0.024024024,0.022727273,0.13785558,0.116906475,0.027918782,0.80858469
0.714091527,0.673501577,0.673147662,0.67101147,0.601428571,0.65923913,0.625374028,0.700265252,0.699088146,0.699088146,0.68549142,0.462004793,0.462030075,0.686369652,0.646494907,0.208708709,0.197860963,0.271334792,0.26618705,0.253807107,0.47969838
0.624376982,0.577287066,0.577509196,0.572992701,0.51,0.557608696,0.510472771,0.608311229,0.601823708,0.601823708,0.608424337,0.353306076,0.353289474,0.591530657,0.536848412,0.288288288,0.279411765,0.345733042,0.338129496,0.327411168,0.44199536
0.480289986,0.42639327,0.426169207,0.442648592,0.330714286,0.410326087,0.383602633,0.473916888,0.477203647,0.477203647,0.451170047,0.195262935,0.195300752,0.457873842,0.381066507,0.465465465,0.431818182,0.472647702,0.426258993,0.535532995,0.28364269
0.714091527,0.673501577,0.673147662,0.67101147,0.63,0.666847826,0.621783363,0.707780725,0.699088146,0.699088146,0.711700468,0.472437615,0.472462406,0.680194089,0.623127621,0.202702703,0.192513369,0.273522976,0.276978417,0.218274112,0.5324826
0.860444042,0.824395373,0.824487651,0.825338895,0.801428571,0.829891304,0.801316577,0.851900973,0.844984802,0.844984802,0.848361934,0.698717045,0.698684211,0.822232025,0.777711204,0.091591592,0.085561497,0.166301969,0.15647482,0.109137056,0.60382831
0.603081106,0.559411146,0.559642669,0.561522419,0.51,0.557608696,0.510472771,0.608311229,0.601823708,0.601823708,0.608424337,0.353306076,0.353289474,0.577856198,0.496105452,0.310810811,0.290106952,0.308533917,0.339928058,0.327411168,0.42575406
0.299501586,0.278654048,0.27850762,0.273201251,0.182857143,0.238586957,0.219628965,0.299292661,0.300911854,0.300911854,0.286427457,0.116170873,0.116165414,0.306131451,0.27022169,0.63963964,0.632352941,0.573304158,0.598920863,0.758883249,0.24651972
0.557317626,0.522082019,0.521807672,0.515641293,0.440714286,0.493478261,0.446439258,0.548629531,0.544072948,0.544072948,0.546645866,0.284552846,0.284492481,0.539479488,0.503894548,0.343843844,0.335561497,0.400437637,0.384892086,0.401015228,0.45823666
0.72043498,0.687697161,0.687335786,0.680396246,0.63,0.666847826,0.621783363,0.707780725,0.699088146,0.699088146,0.711700468,0.472437615,0.472462406,0.691221879,0.672258838,0.187687688,0.185828877,0.280087527,0.273381295,0.218274112,0.56844548
0.840054372,0.813354364,0.813452444,0.80552659,0.78,0.797826087,0.760023938,0.8244916,0.812852801,0.812852801,0.832449298,0.646176982,0.646146617,0.804146449,0.802875974,0.094594595,0.096256684,0.203501094,0.20323741,0.111675127,0.72563805
0.934753058,0.914826498,0.914871256,0.906673618,0.903571429,0.90326087,0.872531418,0.91688771,0.903169779,0.903169779,0.927925117,0.830678133,0.830639098,0.893692104,0.910125824,0.031531532,0.037433155,0.150984683,0.154676259,0.043147208,0.89095128
0.616221115,0.559411146,0.559642669,0.561522419,0.51,0.557608696,0.510472771,0.608311229,0.601823708,0.601823708,0.608424337,0.353306076,0.353289474,0.577856198,0.46434991,0.312312312,0.290106952,0.371991247,0.345323741,0.327411168,0.34106729
0.163117354,0.137749737,0.138202838,0.141293014,0.070714286,0.119021739,0.13165769,0.17285588,0.176291793,0.176291793,0.15600624,0.038911603,0.038909774,0.166740185,0.067705213,0.887387387,0.840909091,0.789934354,0.748201439,0.926395939,0.02552204
0.478477571,0.460042061,0.459800315,0.451511992,0.344285714,0.415217391,0.385996409,0.473916888,0.477203647,0.477203647,0.451170047,0.230226984,0.230169173,0.48478165,0.486518874,0.414414414,0.411764706,0.38512035,0.415467626,0.54822335,0.46867749
0.51200725,0.460042061,0.460851287,0.476016684,0.440714286,0.493478261,0.446439258,0.548629531,0.544072948,0.544072948,0.546645866,0.284552846,0.284492481,0.491398324,0.324745357,0.430930931,0.377005348,0.442013129,0.386690647,0.401015228,0.25928074
0.511554146,0.481598318,0.482396217,0.489572471,0.440714286,0.493478261,0.446439258,0.548629531,0.544072948,0.544072948,0.546645866,0.284552846,0.284492481,0.529775033,0.38765728,0.423423423,0.38368984,0.402625821,0.379496403,0.401015228,0.34918794
0.443588582,0.390115668,0.39096164,0.406673618,0.365,0.421195652,0.377019749,0.479664014,0.477203647,0.477203647,0.474882995,0.234409512,0.234398496,0.425231584,0.246854404,0.524024024,0.459893048,0.509846827,0.442446043,0.492385787,0.1525522
0.589034889,0.559411146,0.559642669,0.561522419,0.412142857,0.529891304,0.520047876,0.59239611,0.601823708,0.601823708,0.546957878,0.253066403,0.253007519,0.589325099,0.547633313,0.324324324,0.300802139,0.323851204,0.314748201,0.413705584,0.43387471
0.275033983,0.247108307,0.247503941,0.252346194,0.12,0.216304348,0.240574506,0.291335102,0.300911854,0.300911854,0.247113885,0.068800226,0.068796992,0.287163652,0.212702217,0.737237237,0.684491979,0.652078775,0.597122302,0.829949239,0.06264501
0.98912551,1.024710831,0.748817656,0.7544317,0.720714286,0.754347826,0.718731299,0.785587975,0.778115502,0.778115502,0.785023401,0.565299121,0.565319549,0.786943097,0.657878969,0.204204204,0.161764706,0.144420131,0.133093525,0.162436548,0.81264501
0.904395106,0.886435331,0.886495008,0.898852972,0.843571429,0.885869565,0.877917415,0.919098143,0.929222753,0.929222753,0.889547582,0.762911791,0.76287594,0.925893251,0.896944278,0.07957958,0.072192513,0.100656455,0.143884892,0.116751269,0.76682135
0.377435433,0.337539432,0.337887546,0.344108446,0.240714286,0.324456522,0.31358468,0.391688771,0.397742076,0.397742076,0.360686427,0.151604869,0.151597744,0.375827084,0.276812463,0.599099099,0.549465241,0.529540481,0.492805755,0.670050761,0.15545244
0.398731309,0.364353312,0.36416185,0.361313869,0.240714286,0.324456522,0.31358468,0.391688771,0.397742076,0.397742076,0.360686427,0.151604869,0.151597744,0.424790472,0.294188137,0.585585586,0.561497326,0.512035011,0.482014388,0.670050761,0.07946636
0.362936112,0.337539432,0.337887546,0.344108446,0.240714286,0.324456522,0.31358468,0.391688771,0.397742076,0.397742076,0.360686427,0.151604869,0.151597744,0.40494045,0.226482924,0.641141141,0.586898396,0.551422319,0.491007194,0.670050761,0.15603248
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0
0.968282737,0.958990536,0.959537572,0.964546403,1,0.989130435,0.968282466,0.991158267,0.977420756,0.977420756,1,1,1,0.948831054,0.910125824,0.013513514,0.00802139,0.105032823,0,0,1
0.637516991,0.577812829,0.578560168,0.592805005,0.511428571,0.591304348,0.581089168,0.67418214,0.699088146,0.699088146,0.63775351,0.382019832,0.381954887,0.674018527,0.472139005,0.378378378,0.330213904,0.354485777,0.300359712,0.360406091,0.47389791
0.444947893,0.437960042,0.4377299,0.436913452,0.3,0.401086957,0.39198085,0.467727675,0.477203647,0.477203647,0.427769111,0.187978758,0.187969925,0.518306131,0.436189335,0.51951952,0.489304813,0.424507659,0.422661871,0.576142132,0.32656613
0.767557771,0.741850683,0.741986337,0.746089677,0.720714286,0.754347826,0.718132855,0.786030062,0.778115502,0.778115502,0.785023401,0.586164763,0.586090226,0.760476401,0.677651288,0.159159159,0.143048128,0.210065646,0.145683453,0.157360406,0.59048724
0.511554146,0.481598318,0.482396217,0.489572471,0.378571429,0.474456522,0.454219031,0.538019452,0.544072948,0.544072948,0.507332293,0.226890361,0.226879699,0.538597265,0.39304973,0.433933934,0.393048128,0.398249453,0.370503597,0.456852792,0.29640371
0.574988672,0.492113565,0.492380452,0.507820647,0.391428571,0.470108696,0.469180132,0.568081344,0.601823708,0.601823708,0.530421217,0.302128859,0.302067669,0.563740626,0.352306771,0.457957958,0.419786096,0.391684902,0.330935252,0.532994924,0.50812065
0.807884005,0.814931651,0.740935365,0.76016684,0.605,0.6875,0.68043088,0.756852343,0.778115502,0.778115502,0.717628705,0.494713097,0.494736842,0.797088663,0.610545237,0.222222222,0.20855615,0.225382932,0.226618705,0.263959391,0.39327146
0.391028546,0.364353312,0.36416185,0.361313869,0.240714286,0.324456522,0.31358468,0.391688771,0.397742076,0.397742076,0.360686427,0.151604869,0.151597744,0.397000441,0.352306771,0.545045045,0.524064171,0.487964989,0.491007194,0.670050761,0.2900232
0.767104667,0.715562566,0.715712034,0.714285714,0.632857143,0.690217391,0.684619988,0.778956676,0.812852801,0.812852801,0.741341654,0.574416091,0.57443609,0.812527569,0.625524266,0.262762763,0.243315508,0.218818381,0.215827338,0.289340102,0.65545244
0.66379701,0.627760252,0.627430373,0.624608968,0.541428571,0.607065217,0.574506284,0.652519894,0.653061224,0.653061224,0.633697348,0.384181587,0.384210526,0.660785179,0.576992211,0.262762763,0.25,0.262582057,0.273381295,0.319796954,0.39153132
0.652016312,0.611461619,0.611665791,0.614181439,0.547142857,0.607065217,0.569718731,0.65694076,0.653061224,0.653061224,0.648361934,0.387800179,0.387781955,0.629466255,0.553624925,0.264264264,0.243315508,0.341356674,0.282374101,0.284263959,0.44779582
0.747168101,0.701892744,0.702049396,0.705422315,0.645,0.697282609,0.676840215,0.764367816,0.778115502,0.778115502,0.746021841,0.548616006,0.548590226,0.764887517,0.648292391,0.234234234,0.212566845,0.221006565,0.188848921,0.230964467,0.61600928
0.601268691,0.522082019,0.521807672,0.515641293,0.386428571,0.469021739,0.4673848,0.568081344,0.601823708,0.601823708,0.530421217,0.296912449,0.296898496,0.585355095,0.406231276,0.418918919,0.403743316,0.299781182,0.31294964,0.527918782,0.4762181
0.58676937,0.522082019,0.522858644,0.537539103,0.460714286,0.535326087,0.524236984,0.627320955,0.653061224,0.653061224,0.594695788,0.372432915,0.372368421,0.627701809,0.40323547,0.454954955,0.398395722,0.411378556,0.345323741,0.418781726,0.41067285
0.882646126,0.876971609,0.877036259,0.882168926,0.811428571,0.880434783,0.876122083,0.900530504,0.903169779,0.903169779,0.870514821,0.676394567,0.676409774,0.895015439,0.880167765,0.070570571,0.061497326,0.148796499,0.098920863,0.093908629,0.67691415
0.59401903,0.559411146,0.559642669,0.561522419,0.412142857,0.529891304,0.520047876,0.59239611,0.601823708,0.601823708,0.546957878,0.253066403,0.253007519,0.607410675,0.500898742,0.340840841,0.31684492,0.286652079,0.336330935,0.413705584,0.25928074
0.730856366,0.687697161,0.688386758,0.696558916,0.608571429,0.688586957,0.681627768,0.756852343,0.778115502,0.778115502,0.717628705,0.495089055,0.495018797,0.760917512,0.650089874,0.250750751,0.221925134,0.253829322,0.23381295,0.271573604,0.62935035
0.453556865,0.337539432,0.337887546,0.344108446,0.259285714,0.317391304,0.335128665,0.434571176,0.477203647,0.477203647,0.412480499,0.210160252,0.210150376,0.39655933,0.113840623,0.66966967,0.612299465,0.518599562,0.431654676,0.746192893,0.19547564
0.647485274,0.627760252,0.627430373,0.624608968,0.558571429,0.614130435,0.579293836,0.650751547,0.653061224,0.653061224,0.624024961,0.39813901,0.398120301,0.644905161,0.654284002,0.249249249,0.237967914,0.251641138,0.267985612,0.360406091,0.62819026
0.529225193,0.460042061,0.460851287,0.476016684,0.405714286,0.473913043,0.463195691,0.574712644,0.601823708,0.601823708,0.546957878,0.315851309,0.315789474,0.576091751,0.324745357,0.551051051,0.483957219,0.470459519,0.397482014,0.492385787,0.32888631
0.865428183,0.835436383,0.835522859,0.832116788,0.790714286,0.827173913,0.801915021,0.849248453,0.844984802,0.844984802,0.839313573,0.693782603,0.693703008,0.832377592,0.82144997,0.085585586,0.082887701,0.179431072,0.179856115,0.114213198,0.62470998
0.53375623,0.47108307,0.471361009,0.494786236,0.434285714,0.492934783,0.454817475,0.543324492,0.544072948,0.544072948,0.52698908,0.281968138,0.281954887,0.50419056,0.365488316,0.415915916,0.370320856,0.439824945,0.374100719,0.456852792,0.24361949
0.811508836,0.766561514,0.766684183,0.76173097,0.733571429,0.757608696,0.716935966,0.789124668,0.778115502,0.778115502,0.795631825,0.591757131,0.591729323,0.763564182,0.720790893,0.127627628,0.125668449,0.221006565,0.221223022,0.14213198,0.59338747
0.869506117,0.856466877,0.856542302,0.857664234,0.786428571,0.851086957,0.841412328,0.871794872,0.874945723,0.874945723,0.842433697,0.680671084,0.680639098,0.868989854,0.853804673,0.081081081,0.073529412,0.076586433,0.142086331,0.121827411,0.66589327
1,1,1,1,0.962857143,1,1,1,1,1,0.976287051,0.920484985,0.920488722,1,1,0,0,0,0.089928058,0.030456853,0.76798144
0.926597191,0.905888538,0.905937993,0.91084463,0.918571429,0.926086957,0.909036505,0.950928382,0.953973079,0.953973079,0.942589704,0.916349453,0.916259398,0.939567711,0.854403835,0.066066066,0.057486631,0.083150985,0.052158273,0.065989848,0.84512761
0.463525147,0.437960042,0.4377299,0.436913452,0.330714286,0.410326087,0.383602633,0.473916888,0.477203647,0.477203647,0.451170047,0.195262935,0.195300752,0.513895015,0.400838826,0.512012012,0.482620321,0.4595186,0.438848921,0.535532995,0.137471
0.740371545,0.708727655,0.708880715,0.717413973,0.678571429,0.714130435,0.674446439,0.747126437,0.740338689,0.740338689,0.743837754,0.517129564,0.517105263,0.71636524,0.689035351,0.174174174,0.161764706,0.242888403,0.221223022,0.210659898,0.64733179
